BLUE,GREEN,RED,NIR,SWIR,Landcover
874.5,947.5,1138.0,1560.0,2277.0,builtup
856.625,982.5,1108.0,2097.5,2285.0,builtup
837.5,981.2,1130.0,2092.0,2118.6667,builtup
828.3333,931.6667,974.0,1965.0,2118.6667,builtup
631.75,771.5,691.5,2292.0,2169.25,builtup
936.0,1074.0,1036.0,2424.0,2169.25,builtup
1088.0,1176.0,1216.0,2088.0,2279.0,builtup
1162.5,1292.5,1313.0,2011.0,2279.0,builtup
999.0,1104.1666,1166.5,1691.0,2365.5,builtup
873.3333,964.5,1155.0,1470.5,2365.5,builtup
713.5,800.0,877.5,1654.6666,2218.75,builtup
1022.5,1092.0,1467.0,1728.0,2400.75,builtup
971.0,1026.0,1264.0,1548.0,2244.6,builtup
930.0,1018.6667,1240.6666,1652.5,2232.2,builtup
1106.0,1202.8572,1323.0,1958.0,2269.0,builtup
1200.6666,1148.0,1322.0,1673.0,2269.0,builtup
1070.0,1051.0,1261.0,1452.0,2233.0,builtup
1270.5,1233.0,1378.0,1636.0,2233.0,builtup
1018.5,1042.0,1184.0,1480.0,2114.0,builtup
905.6667,981.0,1160.0,1380.8,2124.5,builtup
931.0,954.3333,1086.0,1190.0,2167.5,builtup
912.0,928.8333,1090.0,1270.5714,2167.5,builtup
983.5,985.3333,1154.0,1415.3334,2459.5,builtup
929.625,958.0,1218.0,1430.5,2459.5,builtup
1040.0,1051.0,1353.0,1560.6666,2434.6667,builtup
1098.5,1182.75,1377.0,1925.3334,2434.6667,builtup
1030.0,1161.0,1293.0,1864.0,2195.0,builtup
916.6667,992.4583,1034.8334,1800.0,2204.0,builtup
571.6667,750.5,615.0,2395.5,2129.5,builtup
778.0,954.5,904.0,2392.25,2141.0,builtup
913.625,1044.0,1044.0,2099.0,2232.0,builtup
1031.5,1132.3334,1151.8334,2129.3333,2232.0,builtup
1032.0,1127.6,1259.5,1762.0,2408.0,builtup
869.0,935.9167,1345.5,1692.5,2408.0,builtup
840.6667,958.5,1190.6666,1768.0,2341.6667,builtup
1048.4,1076.0,1443.0,1735.6,2391.0,builtup
1086.0,1093.3334,1336.8,1656.0,2232.2,builtup
918.4,946.5,1051.0,1518.1111,2232.2,builtup
1037.0,1074.0,1116.0,1766.5,2276.0,builtup
1216.0,1205.6666,1352.0,1740.5,2276.0,builtup
1112.0,1131.0,1332.0,1524.0,2254.0,builtup
1285.0,1342.5,1418.6666,1584.2142,2243.5,builtup
980.3333,1024.875,1156.0,1426.0,2124.5,builtup
887.4,947.0,1020.0,1226.0,2135.0,builtup
973.875,972.3333,1035.0,1183.5,2167.5,builtup
1006.875,1055.3334,1247.0,1400.0,2167.5,builtup
