BLUE,GREEN,RED,NIR,SWIR
1517.0,1728.5,1765.0,1806.1666,1791.0
683.75,1003.0,860.5,3608.1667,2664.8
761.5,1070.6666,965.0,3236.5,3023.0
1370.3334,1496.0,1551.0,1706.0,1811.5
1127.3334,1169.0,1487.0,1705.0,2476.25
1123.2,1168.0,1301.6666,1752.6666,2290.8
709.5,1054.0,921.0,3320.0,3082.0
1206.6666,1245.0,1286.5,1430.0,1728.125
711.0,995.0,822.6667,3464.3333,2892.0
1004.3333,1109.0,1150.0,1920.0,2379.3333
1394.0,1448.0,1477.0,1779.5,2436.6667
666.3333,963.0,784.0,3190.6667,2608.3333
731.5,1051.3334,918.5,3235.0,2658.25
1132.6666,1188.0,1219.5,1340.0,1542.5
1127.0,1208.0,1262.0,1410.0,2485.0
806.8889,872.0,953.8333,1290.6666,2102.0
1077.6,1095.5,1318.0,1500.0,2340.0
746.0,963.5,1659.0,2520.6667,2541.75
2614.0,2700.0,2692.0,2735.0,3378.75
1270.5,1233.0,1378.0,1636.0,2233.0
1011.6667,1152.6666,1116.6666,2086.5,2186.0
1465.5,1650.5,1784.8,1828.6666,1701.5
876.75,953.0,1094.5,2038.0,2405.3333
799.4167,1059.3334,946.5,3295.0,2889.0
1268.6666,1330.0,1576.0,1752.0,2443.0
1318.0,1426.0,1505.5,1599.3334,1766.0
1481.0,1678.0,1748.6666,1886.0,1960.5
397.0,575.1667,375.0,3353.375,1991.2
921.25,959.0,1120.0,1227.0,2104.0
368.75,543.5,376.5,3200.5,1991.0
1208.0,1249.0,1386.0,1636.0,2290.8
740.0,1050.6666,936.0,3248.0,2768.8
987.5,1166.5,1129.0,2076.1667,2203.5
1174.6666,1271.5,1266.0,1400.0,1764.5
1197.5834,1220.0,1568.6666,1855.3334,2434.6667
859.0,984.0,1224.0,1965.0,2339.25
811.5,925.5,2252.6667,2578.0,3669.5
1188.6666,1256.0,1389.3334,1692.5,2262.0
862.5,980.0,993.6667,2263.1428,2279.0
901.0,1177.0,1221.3334,2886.8,2932.0
1319.0,1412.0,1496.0,1657.0,1764.5
3900.3333,4058.5,4101.25,4042.0,5494.25
916.75,970.0,1144.0,1369.2,2301.0
884.0,1172.6666,1129.3334,3124.0,2994.0
1079.6,1149.25,1152.0,1238.3334,1687.4
949.0,1024.0,1077.0,1359.3334,2127.0
1096.6666,1090.6666,1109.3334,1421.5,2208.4375
983.0,1145.6666,1114.0,2116.0,2136.2
1604.0,1782.0,1803.75,1887.5,1943.25
1086.0,1158.5,1296.5,1677.0,2226.5
1063.3334,1079.5,1252.0,1506.4,2290.5
727.5,1097.5,900.0,3414.0,2634.0
708.5,1030.5,886.0,3307.5,2704.6667
1174.0,1138.0,1314.0,1606.0,2373.5
1381.2,1528.0,1588.0,1634.0,1604.5
1440.0,1573.0,1605.0,1688.5,1870.0
2153.0,2605.0,2486.6667,2800.0,2518.5
793.0,843.8,974.1667,1419.3334,2298.25
816.75,1134.0,1096.0,2989.2,3006.0
713.5,1097.3334,878.0,3346.0,2631.0
743.5,1063.3334,914.0,3198.0,2691.5
905.0,961.3333,1282.0,1584.0,2553.5
1264.4,1392.0,1423.6364,1769.5,2309.5
740.0,1066.0,1034.0,3268.0,2799.6667
745.0,835.0,949.5,1830.5,2156.0
853.25,1087.6,2190.8333,2508.0,2645.0
782.0,1093.0,914.5,3194.0,2667.0
697.8,1043.3334,845.3333,3283.0,2595.0
1029.3334,1098.8,1287.3334,1460.0,2301.0
1051.0,926.0,908.5,2216.3333,2054.0
1224.6666,1317.0,1376.8334,1670.0,2461.4167
1006.875,1055.3334,1247.0,1400.0,2167.5
1311.3334,1403.0,1517.5,1699.6666,2461.4167
1302.0,1368.0,1608.0,1804.25,2360.5
1393.0,1514.5,1584.3334,1634.1666,1760.375
379.2,553.5,395.0,2774.6667,1913.0
696.75,1061.5,892.5,3343.3333,2986.6667
683.875,1028.5,882.25,3369.75,2875.0
1190.0,1187.0,1378.0,1544.4,2198.0
907.0,1066.0,970.0,2140.0,2123.0
880.6,1130.5,1135.0,2494.5,2724.5
952.25,1066.0,979.0,1704.8,1991.8
1023.0,1066.6666,1130.0,1895.6666,2233.0
969.25,1114.0,1074.0,2038.3334,2220.0
850.125,1159.5,1121.5,2995.0,3006.0
2414.0,2454.3333,2542.0,2486.0,3332.0
375.16666,559.75,413.25,2839.0,1986.25
4135.0,4370.6665,4360.0,4257.6665,5463.0835
727.6667,1048.0,938.6667,3307.3333,2897.0
1062.6666,1066.0,1198.0,1450.8,2181.6667
1348.0,1526.4,1548.0,1668.0,1912.4
854.3333,901.75,970.0,1190.0,2343.25
1125.3334,1162.0,1363.0,1609.0,2464.0
1063.6,1210.0,1179.0,1957.3334,2042.0
682.0,1002.0,877.0,3374.0,2690.0
379.5,548.0,353.0,3021.0,1926.2
1064.6666,1128.4,1182.0,1251.5,1665.0
668.0,947.3333,740.0,3378.5,2332.0
917.5,1158.0,1206.5,2758.6667,2838.25
