BLUE,GREEN,RED,NIR,NDVI,Landcover
0.0414,0.0502,0.0286,0.0129,0.096069865,water
0.0406,0.0508,0.0296,0.0136,0.11159735,water
0.0428,0.0507,0.0303,0.0139,0.08449197,water
0.04345,0.04975,0.03085,0.0134,0.067596555,water
0.04355,0.05065,0.0317,0.01345,0.07537156,water
0.04355,0.05065,0.0317,0.01345,0.07537156,water
0.04405,0.0519,0.03135,0.0154,0.08181343,water
0.04545,0.0524,0.03135,0.01755,0.07102711,water
0.04605,0.05435,0.03285,0.01735,0.08266931,water
0.03805,0.0469,0.02275,0.0104,0.104178935,water
0.03815,0.04675,0.02225,0.0103,0.101295635,water
0.03865,0.0461,0.0218,0.0091,0.087905645,water
0.0381,0.0456,0.02155,0.009,0.089605734,water
0.0398,0.04595,0.0219,0.0092,0.071720116,water
0.04,0.046,0.02245,0.0088,0.06976746,water
0.0422,0.0476,0.0259,0.0096,0.06013365,water
0.0406,0.04725,0.0267,0.0094,0.075697176,water
0.0409,0.0495,0.02705,0.0099,0.09513275,water
0.041,0.04955,0.0272,0.00915,0.09442296,water
0.04105,0.04955,0.0266,0.0087,0.093819015,water
0.04205,0.04995,0.0273,0.0087,0.08586956,water
0.0426,0.0529,0.0306,0.009,0.107853435,water
0.0416,0.052,0.0284,0.0084,0.11111111,water
0.0405,0.0484,0.0257,0.0084,0.08886389,water
0.0408,0.0464,0.0239,0.0088,0.06422016,water
0.0404,0.0465,0.0237,0.008,0.07019566,water
0.0399,0.046,0.0243,0.0076,0.071012795,water
0.0397,0.04605,0.0253,0.00765,0.074052475,water
0.04,0.04625,0.0254,0.0075,0.07246379,water
0.04,0.04625,0.0254,0.0075,0.07246379,water
0.0423,0.04615,0.02675,0.0079,0.043527395,water
0.04205,0.05055,0.0267,0.0079,0.091792636,water
0.04175,0.0504,0.0269,0.008,0.0938687,water
0.0411,0.05035,0.026,0.0079,0.10114817,water
0.0414,0.05015,0.02645,0.0076,0.095576175,water
0.04095,0.04955,0.0268,0.0077,0.09502763,water
0.0411,0.0488,0.02715,0.00795,0.08565072,water
0.04085,0.049,0.02735,0.00805,0.09070674,water
0.0426,0.04935,0.0275,0.00825,0.07340949,water
0.04105,0.04915,0.02785,0.00845,0.08980048,water
0.0426,0.0522,0.0276,0.0085,0.101265855,water
0.0408,0.0524,0.0274,0.0086,0.12446351,water
0.0435,0.0524,0.0274,0.0087,0.09280502,water
0.0419,0.0518,0.0277,0.0088,0.10565634,water
0.0426,0.0529,0.0281,0.0097,0.107853435,water
0.0426,0.0527,0.0285,0.0109,0.10598114,water
0.041,0.0525,0.0295,0.011,0.12299462,water
0.0437,0.0518,0.029,0.011,0.08481678,water
0.0428,0.0517,0.0295,0.0115,0.09417987,water
0.0429,0.051,0.0312,0.0113,0.08626198,water
0.0426,0.0507,0.0317,0.0118,0.08681675,water
0.0426,0.0513,0.0319,0.0118,0.092651784,water
0.042,0.0513,0.0319,0.0119,0.099678464,water
0.0426,0.0514,0.0322,0.0122,0.09361702,water
0.0432,0.0514,0.0295,0.0128,0.08668073,water
0.0419,0.0514,0.0292,0.0123,0.10182205,water
0.0428,0.0515,0.0295,0.0132,0.09225873,water
0.0425,0.0513,0.0303,0.0133,0.09381663,water
0.0422,0.05015,0.0309,0.01375,0.08608555,water
0.04325,0.05065,0.03185,0.0137,0.07880727,water
0.04325,0.05065,0.03185,0.0137,0.07880727,water
0.04405,0.0519,0.03075,0.014,0.08181343,water
0.04515,0.05405,0.0314,0.0156,0.08971772,water
0.04805,0.05495,0.03165,0.01715,0.06699027,water
0.03805,0.04575,0.0227,0.0106,0.09188544,water
0.03855,0.04665,0.022,0.00975,0.095070414,water
0.0388,0.0456,0.02185,0.00905,0.080568716,water
0.0381,0.04615,0.02165,0.0088,0.09554894,water
0.0382,0.0458,0.0218,0.00915,0.090476215,water
